Wavenumber,Y1-1,Y1-2,Y1-3,Y2-1,Y2-2,Y2-3,Y3-1,Y3-2,Y3-3,Y4-1,Y4-2,Y4-3,Y5-1,Y5-2,Y5-3,Y6-1,Y6-2,Y6-3,Y7-1,Y7-2,Y7-3,Y8-1,Y8-2,Y8-3,Y9-1,Y9-2,Y9-3,DJ2-1,DJ2-2,DJ2-3,DJ3-1,DJ3-2,DJ3-3,DJ4-1,DJ4-2,DJ4-3,DJ5-1,DJ5-2,DJ5-3,DJ7-1,DJ7-2,DJ7-3,DJ8-1,DJ8-2,DJ8-3,DJ11-1,DJ11-2,DJ11-3,DJ14-1,DJ14-2,DJ14-3,DJ16-1,DJ16-2,DJ16-3,DJ17-1,DJ17-2,DJ17-3,DJ17W-1,DJ17W-2,DJ17W-3,DJ18-1,DJ18-2,DJ18-3,DJ18W-1,DJ18W-2,DJ18W-3,DJ20-1,DJ20-2,DJ20-3,DJ21-1,DJ21-2,DJ21-3,DJ22-1,DJ22-2,DJ22-3,DJ24-1,DJ24-2,DJ24-3,DJ26-1,DJ26-2,DJ26-3
590.2177,90.02976,89.56186,89.80924,88.91714,89.65252,90.14261,89.81154,90.7295,90.86487,90.93459,90.46089,90.11382,91.6805,91.17273,92.97104,92.14582,92.10393,92.73474,93.16713,92.61498,92.29415,92.48906,91.76032,93.13652,92.3516,92.49099,91.66941,95.92472,96.49601,96.01242,94.32874,95.32721,94.70761,93.69729,94.73834,94.81913,94.77053,94.32279,95.1387,94.31333,93.86368,92.69724,94.23407,93.46094,93.06569,92.45663,92.2394,92.0265,91.25062,91.06685,90.53875,90.21803,90.05091,90.10858,94.94294,95.94656,95.93374,96.49144,96.5887,96.4798,91.55502,92.63665,91.36295,93.44697,93.25674,93.54748,91.27215,92.23974,93.02453,95.09893,95.46763,95.04053,93.81422,93.9431,93.59318,95.8837,95.1788,94.32622,93.0685,91.72757,91.49947
592.14651,90.78553,89.90588,90.28545,89.18825,90.18308,90.38731,89.9014,90.86488,90.99257,91.29335,90.64136,89.86488,92.8502,91.6813,92.7336,91.65644,91.84344,92.33215,93.1112,92.15236,91.37011,92.22891,91.30985,92.51749,91.55575,91.54325,91.26647,95.47203,95.87835,95.32501,94.07293,94.27972,94.51778,93.61139,93.84098,94.19685,93.4749,93.43926,94.08287,93.09066,93.42493,92.45668,93.01133,93.39796,92.39355,92.23405,91.43022,91.58527,90.74636,90.14449,91.52431,89.76199,89.08296,89.36729,94.56077,95.36173,95.3519,95.22604,96.13625,96.1684,91.33013,92.48587,91.06097,92.67736,93.70511,92.32882,91.29961,92.18277,92.54846,95.32742,95.38069,95.1538,93.34832,93.09492,93.26493,95.06816,95.079,93.76395,92.55236,91.4528,91.48883
594.07533,92.2439,91.68137,92.03965,91.22312,90.97284,91.76221,91.44054,91.59552,91.50837,91.98932,91.42446,90.35302,94.04885,93.27201,92.68901,92.08943,92.69187,92.10478,92.98694,92.79484,92.84647,92.34418,91.77613,92.49155,90.52689,90.50456,90.94356,95.88426,96.28196,95.58843,95.30888,94.32505,95.00405,94.51133,93.43555,94.80162,93.4795,93.85495,94.75226,92.9757,93.60883,93.48346,93.29201,93.23578,92.80521,91.84882,91.45975,91.96728,90.47203,90.54753,92.19357,90.00757,89.32478,89.54076,95.18862,95.68507,95.68304,95.39662,96.9339,97.113,92.15418,92.0719,91.58293,92.65717,94.57935,92.87203,92.22959,92.14357,92.83244,95.60327,96.09326,95.13978,93.50303,93.71832,94.71946,95.28523,95.13984,93.6591,92.55033,92.96523,91.91682
596.00414,93.26711,94.10953,93.38699,93.33362,92.41858,92.81455,92.44849,93.28107,92.81175,92.71918,92.13611,91.74564,94.67649,94.23015,94.30903,92.50811,93.50078,92.81056,92.74824,93.54896,92.55734,92.34706,91.97989,92.30426,90.9318,90.69291,91.02701,96.69112,96.63562,96.21932,95.8235,94.81776,95.55678,94.30499,93.89954,95.60373,94.31878,93.95471,95.39076,93.24294,93.40036,94.16083,93.15529,93.01599,93.3256,91.92767,91.84108,92.20581,91.00627,90.95942,92.11603,90.52233,89.64687,90.41762,96.17891,95.80473,96.58824,95.80628,97.79057,97.58566,92.76565,91.85575,92.18382,93.04535,94.35206,93.72489,93.13692,93.40169,93.96966,96.13319,96.73693,95.4251,93.95825,93.70732,95.54322,96.2044,94.97336,94.59112,93.28198,93.79057,92.19373
597.93296,93.58385,95.36112,94.21303,94.48098,93.79082,93.50219,93.65733,94.19684,93.82338,92.85263,92.67617,92.64407,95.12713,94.35189,95.00943,93.43207,93.68756,93.51331,93.14728,93.62185,93.03226,91.89179,91.17704,92.01012,91.50254,90.78813,91.0107,96.62626,96.95021,96.35586,95.44185,95.21398,95.3652,94.4383,94.32691,95.32707,94.444,93.20212,95.00922,94.10572,93.48152,93.84082,92.48109,93.16051,93.02672,91.9779,92.00572,91.84681,91.14172,90.58225,92.09454,90.97352,89.84077,91.09657,96.79721,96.39772,97.60262,96.39385,98.17801,97.35742,92.69488,91.21392,92.20169,93.11776,93.36494,93.09362,93.43537,93.84245,94.88788,96.75278,97.27111,96.24014,93.36024,93.53475,94.36118,96.25574,95.07617,94.43757,93.72413,93.54181,92.52852
599.86178,94.94811,96.15477,95.82358,95.08518,95.15766,95.03485,94.43164,95.00496,95.07988,94.00657,93.18496,93.67708,95.43394,94.75835,95.09384,94.34761,94.54894,93.85386,93.95937,93.56066,93.80893,91.4042,91.36945,92.32943,90.74174,90.59636,90.41278,96.68283,97.8012,96.44049,95.62457,95.82388,94.788,95.02486,94.22491,95.26112,94.27631,93.16631,94.9101,94.7937,94.03463,93.89572,92.82861,93.67111,93.21929,92.11215,91.89965,91.06835,90.46151,90.61404,91.94736,91.62266,90.56217,91.44587,97.23946,97.79106,97.26483,97.39968,98.67991,97.56983,92.16847,91.44905,91.7825,93.70459,92.86752,93.29652,93.86442,93.78097,95.10564,96.96324,97.71768,96.67729,92.94896,94.0275,93.2442,96.31078,95.49705,94.39332,93.86544,93.20973,93.38197
601.79059,96.28626,96.61861,96.68899,95.5603,95.83734,95.91551,94.57952,95.81028,95.51507,94.49457,94.30694,94.46726,95.40466,94.77336,95.31261,94.91074,94.54292,94.0994,93.73229,93.22437,93.58908,91.40216,91.06427,92.36891,89.80286,90.3863,89.8708,96.78157,98.09563,96.19894,95.71989,95.52963,94.38398,94.66202,94.14326,95.22719,94.18621,93.41047,94.04204,93.51111,93.67541,93.44945,92.62585,93.2211,93.38341,91.43522,91.40523,90.67164,90.11338,90.49702,91.48261,91.79274,90.88159,91.01696,96.84387,97.50945,96.35583,97.24057,99.01038,97.90739,90.97324,91.49152,91.00784,93.68696,92.91386,93.39575,93.81984,93.23049,94.65792,96.5849,97.52024,96.48753,93.03478,94.01822,92.85528,96.51539,95.15028,94.56944,93.88146,93.29068,93.74479
603.71941,97.44068,97.07125,97.40663,96.41633,96.24954,96.42603,95.5323,96.44073,96.21813,95.06917,95.27292,94.81943,96.39984,94.79431,95.56334,95.84274,94.41424,94.69232,93.91403,94.41661,93.4836,91.91393,90.66135,92.6695,89.62221,90.28594,90.07004,97.85602,98.62297,96.57692,96.0042,95.65165,94.42572,94.59834,94.68286,95.60273,94.84191,93.28633,93.90881,93.02062,93.48938,93.3482,92.19033,93.30448,93.28661,90.98448,90.9233,91.10936,90.78066,89.9974,92.23578,92.11634,91.06301,91.32803,96.47775,97.38924,96.49182,97.54938,98.97413,98.35403,91.1184,91.52871,91.28017,93.36856,92.97624,93.20693,93.74711,93.4432,94.5962,97.05364,98.08325,97.07558,93.06469,93.41932,93.20148,96.54912,94.9819,95.97266,93.95284,94.50264,93.893
605.64822,98.06067,96.86197,97.71816,96.7969,96.06315,96.63775,95.69398,96.49035,96.15132,95.39095,95.21298,94.59463,96.46574,94.5099,95.28749,95.2569,94.28285,94.5982,93.84725,94.44512,92.93469,91.7055,90.20669,92.52051,89.38316,89.43317,89.01887,97.98416,98.13755,96.78093,96.37678,94.98407,94.76858,94.16552,94.9146,95.48063,94.81014,93.39279,93.3544,92.53829,93.06576,92.88873,92.01368,93.05618,92.9609,90.72912,90.14846,90.63807,90.95617,89.4163,92.62467,91.65762,90.9227,91.18065,96.4321,97.04618,97.59157,97.69289,98.4419,97.58005,91.6007,91.14989,91.65621,92.23477,92.37333,93.0658,93.04375,93.35792,94.91938,96.62426,97.75292,97.07955,92.55221,92.68855,92.84369,96.03577,95.02813,95.99836,93.67089,94.40085,93.35029
607.57704,97.8972,96.8615,97.69544,96.88348,96.11589,96.64959,95.60935,96.2351,95.90499,95.49087,94.89556,94.37545,95.94352,94.86281,95.3077,94.11293,94.26382,94.49411,93.343,93.48799,92.51956,91.08564,90.64705,92.06095,88.6594,88.84195,88.5184,96.95557,97.09748,95.97398,95.40437,94.29495,94.59334,93.56502,93.88434,94.73566,94.1272,93.30434,92.74053,92.02077,92.51277,91.95323,91.00607,92.09704,92.80608,90.29412,89.92769,90.25805,90.09333,89.32567,91.69863,90.8065,90.03689,90.46997,96.4272,96.71945,97.97024,97.09501,97.8127,96.90354,91.82785,90.90519,91.154,91.72198,91.9168,92.52378,92.74715,93.33951,94.44502,96.09132,97.30942,97.11882,92.2002,92.27403,92.73313,95.18717,94.41702,94.83571,93.64881,93.42247,92.97061
