name,c_K2CO3,c_KHCO3,Total,Wavenumber,R1-1,R1-2,R1-3,R2-1,R2-2,R2-3,R3-1,R3-2,R3-3,R4-1,R4-2,R4-3,R5-1,R5-2,R5-3,R6-1,R6-2,R6-3,R7-1,R7-2,R7-3,R8-1,R8-2,R8-3,R9-1,R9-2,R9-3,R10-1,R10-2,R10-3,R11-1,R11-2,R11-3
,,,,707.87547,101.54172,102.05279,101.63915,103.903,103.77975,103.79631,105.48811,105.45663,104.80931,102.84733,102.5991,102.75109,102.46234,102.05355,101.70702,101.86302,101.64459,101.67531,103.69592,103.56008,103.52121,101.9822,101.73665,101.8047,101.23227,101.56638,101.93375,100.72088,100.50159,100.49025,100.00762,99.78856,99.89794
,,,,709.80429,101.44212,101.95664,101.50566,103.66045,103.6138,103.58964,105.13251,105.09082,104.46289,102.70296,102.44594,102.70985,102.15474,101.62122,101.57011,101.47938,101.43692,101.49319,103.4364,103.19782,103.32862,101.66795,101.674,101.72028,101.21346,101.4948,101.83793,100.62699,100.34459,100.44312,99.96775,99.67037,99.76935
,,,,711.7331,101.41264,101.99381,101.46492,103.66173,103.37652,103.39964,104.9127,104.96901,104.39566,102.70142,102.42577,102.70551,101.99779,101.65294,101.63551,101.31774,101.26531,101.37958,103.44128,103.1599,103.21369,101.65325,101.54937,101.751,101.14287,101.50534,101.5908,100.56016,100.39312,100.50365,99.90213,99.59831,99.56849
,,,,713.66192,101.46825,102.10737,101.56284,103.55874,103.30832,103.26346,104.86957,104.8028,104.46459,102.67976,102.54772,102.66482,101.85909,101.72345,101.67183,101.28808,101.05133,101.27875,103.32377,103.10463,103.0529,101.73649,101.52044,101.71706,101.0452,101.66711,101.5192,100.58135,100.5241,100.45235,99.84668,99.58271,99.58295
,,,,715.59074,101.47916,102.03481,101.5258,103.34527,103.27757,103.09815,104.66552,104.56225,104.23644,102.66752,102.49597,102.58611,101.64725,101.52638,101.45335,101.13122,100.77418,101.09286,103.12358,103.00881,102.89263,101.71647,101.53869,101.55313,100.91264,101.52859,101.52135,100.55767,100.4207,100.29,99.62282,99.53268,99.50538
,,,,717.51955,101.31519,101.78802,101.44834,103.04928,103.15627,102.99916,104.42746,104.33852,103.85833,102.59572,102.24575,102.51733,101.54137,101.30121,101.21618,100.86278,100.65135,100.79868,102.92724,102.82305,102.73484,101.54926,101.47275,101.34989,100.58649,101.17427,101.33864,100.20203,100.03231,100.04848,99.35434,99.4402,99.32898
,,,,719.44837,101.44137,101.88052,101.81127,103.25369,103.40206,103.33587,104.54773,104.51848,104.11713,102.91999,102.62722,102.89358,101.82138,101.45749,101.49255,101.02517,100.9823,100.80495,102.9309,102.94108,102.82618,101.56246,101.5594,101.45296,100.33921,101.14374,101.40467,99.98189,99.69568,100.08983,99.34054,99.45086,99.42796
,,,,721.37718,101.43087,101.8699,101.78743,103.16925,103.21343,103.16424,104.28398,104.28461,103.91338,102.85744,102.59528,102.76321,101.80574,101.39249,101.40778,100.92225,100.85409,100.69916,102.82391,102.91644,102.60477,101.61732,101.52358,101.48224,100.30871,101.29168,101.36926,100.06199,99.77267,100.15437,99.33635,99.45236,99.58541
,,,,723.306,101.14941,101.67193,101.37481,102.71127,102.70493,102.4904,103.78761,103.66982,103.0774,102.48154,101.9702,102.20108,101.46319,100.9495,100.93381,100.47332,100.22529,100.27762,102.47349,102.44727,102.04166,101.41229,101.27726,101.25624,100.31821,100.97608,101.06,99.80938,99.9161,99.93036,99.36668,99.31836,99.38054
,,,,725.23482,101.00168,101.52485,101.10123,102.43049,102.50787,102.24222,103.51456,103.30459,102.80015,102.27406,101.69998,101.97715,101.27729,100.78663,100.71206,100.04106,99.93205,99.98292,102.19189,102.107,101.71263,101.17108,101.04468,100.99183,100.3685,100.68764,100.82892,99.62921,99.68455,99.61194,99.31584,99.11633,99.13248
